Serial Number,UP#/System ID,Make,Office,Modality,Status,Room,Tech,Equipment,Contract/Warranty Begin,Contract/Warranty End,Service Contract,Coverage days left,PM Completed,Service Support,Support Phone#,Support Email,Service Annual Fee,Note,Purchase From,Purchase Date,Delivery Date,Install Date,Remove By,Remove Date,Remove Description
BVA00145 ,,Brevera,ABC,Mammo Biopsy  Brevera,In Use,Mammo,,Mammo breast Brevera biopsy system                                                                              ,1/20/2025,6/30/2026,,,,Hologic,877-371-4372,ServiceOperations@hologic.com,"$14,700.00 ",1 pm/yr,Hologic ,,,,,,
82008172178,,Hologic,ABC,Mammo Biopsy Affirm,In Use,Mammo,,Mammo breast affirm biopsy system,1/20/2025,6/30/2026,,,,Hologic,877-371-4372,ServiceOperations@hologic.com,"$4,263.00 ",2 pm/yr,Hologic ,,,,,,
101488,,Hologic,ABC,Mammo Biopsy Chair,In Use,Mammo,,Mammo breast biopsy Akrus chair,9/1/2021,6/30/2026,,,,Hologic,877-371-4372,ServiceOperations@hologic.com,"$1,470.00 ",,Hologic ,,,,,,
BCB1562182,,Toshiba,AR,CT,In Use,CT,Christine,CT Toshiba Aquillon Prime Model TSX-303A(manufacture 6/2015),9/17/2025,9/17/2030,,,4/1/2026,Advanced Imaging Services,800-200-3583,,"$86,400.00 ",4 pm/yr,Advanced Imaging Services,Inv date 1/20/25,,,,,
560029GA,,GE,AR,Dexa,In Use,Dexa,Cindy/Christine,DEXA GE Lunar system (manufacture 10/2015),n/a,n/a,,,,Block Imaging,877-733-7142,,,Warranty ended on 11/18/2025,Block Imaging,,,,,,
81011167599,,Hologic,AR,Mammo,In Use,Mammo,Cindy,Mammo Hologic Selenia Dimensions 2D,1/20/2025,6/30/2026,,,,Hologic,877-371-4372,ServiceOperations@hologic.com,"$58,267.41 ",2 pm/yr,Hologic,,,,,,
112084US1 (system id),,GE,AR,Ultrasound,In Use,Room 2,Cynthia,Ultrasound GE Logic E9,n/a,n/a,,,4/18/2025,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,8/17/26: new GE IC5-9-D ENDOVAGINAL probe S/N: 770590WX8 (90 days warranty) purchase from Jose,GE,,,,,,
206559US6,,GE,AR,Ultrasound,In Use,Room 1,Azusena,GE Logiq E9 R6 XDCLEAR,8/7/2026,8/7/2027,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,6/29/2026,8/7/2026,,,
02774-1116-W,,Del Medical,AR,X-Ray,In Use,X-Ray,Cindy/Christine,Xray New Universal High Frequency Radiography,n/a,n/a,,,,RMXC,800-822-7692,,,Control serial# 02774-1116-W,RMXC,,,,,,
HDA06Y2409,,Toshiba,CI,CT,In Use,CT,Lisa,CT Toshiba 128 Slice,3/21/2025,3/21/2029,,,6/26/2026,Advanced Imaging Services,800-200-3583,,"$72,000.00 ",4 pm/yr,Toshiba,,,,,,
Id:PA51077,,GE,CI,Dexa,In Use,Dexa,,DEXA GE Lunar system,n/a,n/a,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,1 pm/yr,,,,,,,
140104130,,Hologic,CI,Mammo,In Use,Room 1,Julie L,Mammo Hologic Selenia,n/a,n/a,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,this unit moved from PMIOC ALH,Hologic,,,,,,
SDM131800166,,Hologic,CI,Mammo,In Use,Mammo,Shufang,Mammo Hologic Selenia Dimensions 2D,10/20/2022,10/19/2026,,,,Hologic,877-371-4372,ServiceOperations@hologic.com,"$36,082.00 ",2 pm/yr,Hologic,,,,,,
R5930,,GE,CI,MRI,In Use,MRI,Ashim,MRI GE 23 X,1/22/2025,1/22/2028,,,8/17/2026,Advanced Imaging Services,800-200-3583,,"$86,400.00 ",4 pm/yr,,,,,,,
501896us7,,GE,CI,Ultrasound,In Use,Room 1,Cathy,Ultrasound GE Loqiq E10,n/a,n/a,,,,Valco Medical (Jose),951-667-9845,jose@valcomed.com,,,Valco Medical (Jose),,,12/15/2023,,,
204729us6,,GE,CI,Ultrasound,In Use,Room 5,Allison,Ultrasound GE Logic E9,2/4/2020,2/19/2027,,,3/23/2026,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com,"$6,497.00 ",1 pm/yr,GE,,,,,,
